Название университета,Страна,Город,Минимальный GPA,Минимальный IELTS,Минимальный SAT,Минимальный AP,Минимальный бюджет ($),Направление,Климат,Уровень проектов,Гранты,Стоимость проживания,Краткое описание
Университет Кембриджа,Великобритания,Кембридж,3.89,6.5,1100,5,25000,Медицина,Умеренный,Продвинутый,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Сиднея,Австралия,Сидней,3.61,6.0,1300,3,30000,IT,Умеренный,Базовый,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Корея Университи,Южная Корея,Сеул,3.29,6.0,1200,3,15000,Бизнес,Холодный,Средний,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Национальный университет Сингапура,Сингапур,Сингапур,3.99,7.0,1200,3,15000,Математика,Умеренный,Продвинутый,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Корея Университи,Южная Корея,Сеул,3.31,7.0,1400,1,10000,Инженерия,Тёплый,Нет,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Токийский университет,Япония,Токио,2.97,6.5,1300,4,15000,IT,Холодный,Продвинутый,Низкий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Кембриджа,Великобритания,Кембридж,3.23,6.5,1400,5,30000,Физика,Тёплый,Средний,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Корея Университи,Южная Корея,Сеул,3.09,7.0,1300,4,25000,Математика,Холодный,Базовый,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Сиднея,Австралия,Сидней,3.0,6.5,1000,4,15000,IT,Холодный,Базовый,Высокий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Национальный университет Сингапура,Сингапур,Сингапур,3.82,6.0,1000,1,10000,Математика,Тёплый,Средний,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Назарбаева,Казахстан,Астана,2.87,6.5,1000,2,15000,Инженерия,Умеренный,Нет,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Корея Университи,Южная Корея,Сеул,2.63,6.5,1200,1,25000,Математика,Умеренный,Средний,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,3.53,6.5,1500,4,15000,Математика,Холодный,Продвинутый,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Торонто,Канада,Торонто,3.75,7.0,1100,4,25000,Физика,Холодный,Продвинутый,Высокий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Гарвард,США,Кембридж,3.3,7.0,1500,1,25000,Бизнес,Холодный,Продвинутый,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Назарбаева,Казахстан,Астана,3.32,7.0,1200,4,30000,Инженерия,Тёплый,Базовый,Высокий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Назарбаева,Казахстан,Астана,3.32,7.0,1300,2,20000,Математика,Холодный,Средний,Высокий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Сиднея,Австралия,Сидней,2.92,5.5,1500,5,5000,Бизнес,Тёплый,Базовый,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Назарбаева,Казахстан,Астана,3.21,7.0,1000,4,15000,Бизнес,Умеренный,Продвинутый,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Назарбаева,Казахстан,Астана,3.44,6.5,1400,4,5000,Медицина,Холодный,Средний,Высокий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Токийский университет,Япония,Токио,3.83,7.0,1000,3,5000,Инженерия,Тёплый,Продвинутый,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Гарвард,США,Кембридж,2.9,5.5,1100,3,20000,Бизнес,Холодный,Продвинутый,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Сиднея,Австралия,Сидней,3.71,6.5,1300,1,30000,Инженерия,Холодный,Базовый,Высокий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Токийский университет,Япония,Токио,2.76,6.0,1300,1,25000,Математика,Тёплый,Продвинутый,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Торонто,Канада,Торонто,2.74,5.5,1100,1,30000,Медицина,Холодный,Базовый,Низкий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Гарвард,США,Кембридж,3.22,5.5,1300,2,10000,IT,Умеренный,Продвинутый,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Гарвард,США,Кембридж,3.84,6.0,1200,2,20000,IT,Тёплый,Нет,Высокий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,2.62,6.0,1200,4,25000,Физика,Умеренный,Базовый,Низкий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Назарбаева,Казахстан,Астана,3.49,5.5,1300,5,25000,Бизнес,Тёплый,Нет,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Гарвард,США,Кембридж,2.59,6.5,1300,2,10000,Бизнес,Холодный,Нет,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Гонконга,Гонконг,Гонконг,3.92,6.0,1100,1,10000,Бизнес,Тёплый,Продвинутый,Низкий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Торонто,Канада,Торонто,3.22,6.5,1500,4,20000,Математика,Умеренный,Базовый,Высокий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Сиднея,Австралия,Сидней,3.18,7.0,1000,2,15000,Бизнес,Холодный,Средний,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Гарвард,США,Кембридж,3.77,6.0,1200,5,5000,IT,Холодный,Базовый,Высокий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Гонконга,Гонконг,Гонконг,3.55,7.0,1200,2,25000,Математика,Умеренный,Базовый,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Кембриджа,Великобритания,Кембридж,2.72,5.5,1300,2,30000,Физика,Холодный,Базовый,Высокий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Гарвард,США,Кембридж,3.5,6.5,1300,2,5000,Бизнес,Холодный,Продвинутый,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Корея Университи,Южная Корея,Сеул,3.95,6.0,1200,1,15000,Физика,Тёплый,Средний,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Гарвард,США,Кембридж,2.75,6.0,1100,4,30000,Бизнес,Холодный,Средний,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Гонконга,Гонконг,Гонконг,3.18,7.0,1100,5,20000,Инженерия,Холодный,Средний,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Сиднея,Австралия,Сидней,3.89,6.0,1400,5,25000,Инженерия,Холодный,Базовый,Высокий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Сиднея,Австралия,Сидней,3.66,6.5,1400,5,30000,Бизнес,Холодный,Средний,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Гонконга,Гонконг,Гонконг,2.85,6.0,1200,5,15000,Инженерия,Холодный,Нет,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,2.86,6.0,1500,4,20000,Медицина,Умеренный,Продвинутый,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Национальный университет Сингапура,Сингапур,Сингапур,3.06,5.5,1400,3,25000,Бизнес,Умеренный,Средний,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Торонто,Канада,Торонто,3.54,6.5,1500,2,20000,Физика,Тёплый,Продвинутый,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Национальный университет Сингапура,Сингапур,Сингапур,2.96,5.5,1300,5,5000,Медицина,Умеренный,Средний,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Гонконга,Гонконг,Гонконг,3.35,6.0,1300,4,25000,IT,Умеренный,Базовый,Высокий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,2.73,7.0,1400,5,15000,Бизнес,Тёплый,Базовый,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Корея Университи,Южная Корея,Сеул,3.33,6.0,1100,1,5000,Инженерия,Умеренный,Средний,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Кембриджа,Великобритания,Кембридж,2.79,6.5,1300,5,5000,Физика,Холодный,Нет,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Корея Университи,Южная Корея,Сеул,3.19,5.5,1100,2,10000,IT,Холодный,Базовый,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,3.29,6.0,1300,2,10000,Математика,Тёплый,Базовый,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Корея Университи,Южная Корея,Сеул,2.51,6.0,1300,1,5000,Бизнес,Холодный,Базовый,Низкий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Гарвард,США,Кембридж,3.46,7.0,1100,3,5000,Физика,Умеренный,Средний,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Кембриджа,Великобритания,Кембридж,3.26,6.5,1200,5,5000,Математика,Холодный,Средний,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Гонконга,Гонконг,Гонконг,3.0,6.5,1200,4,20000,Математика,Умеренный,Средний,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Национальный университет Сингапура,Сингапур,Сингапур,3.1,5.5,1000,1,25000,Бизнес,Тёплый,Средний,Высокий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Токийский университет,Япония,Токио,3.28,5.5,1300,1,5000,IT,Холодный,Нет,Низкий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Токийский университет,Япония,Токио,3.63,6.0,1500,5,10000,Бизнес,Умеренный,Нет,Высокий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Гонконга,Гонконг,Гонконг,2.59,6.0,1000,1,30000,IT,Умеренный,Средний,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Национальный университет Сингапура,Сингапур,Сингапур,3.95,5.5,1000,3,30000,IT,Тёплый,Продвинутый,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Назарбаева,Казахстан,Астана,2.78,6.5,1300,4,30000,Математика,Тёплый,Средний,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Гонконга,Гонконг,Гонконг,3.79,5.5,1000,1,15000,Физика,Холодный,Средний,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Гарвард,США,Кембридж,3.69,6.5,1000,3,20000,IT,Холодный,Средний,Высокий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Назарбаева,Казахстан,Астана,3.12,7.0,1300,1,10000,Инженерия,Холодный,Базовый,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Национальный университет Сингапура,Сингапур,Сингапур,3.86,5.5,1400,2,10000,IT,Тёплый,Базовый,Низкий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Назарбаева,Казахстан,Астана,2.56,6.5,1200,4,5000,IT,Холодный,Базовый,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Национальный университет Сингапура,Сингапур,Сингапур,2.8,6.0,1300,1,5000,IT,Холодный,Средний,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Кембриджа,Великобритания,Кембридж,3.3,6.0,1500,5,15000,Бизнес,Тёплый,Нет,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Токийский университет,Япония,Токио,3.99,7.0,1000,1,30000,Бизнес,Тёплый,Нет,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Сиднея,Австралия,Сидней,3.72,6.5,1000,2,15000,Физика,Холодный,Продвинутый,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Сиднея,Австралия,Сидней,3.76,5.5,1500,5,15000,Математика,Тёплый,Базовый,Высокий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,3.11,5.5,1000,2,25000,IT,Холодный,Нет,Высокий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Гарвард,США,Кембридж,2.65,7.0,1300,1,25000,Бизнес,Тёплый,Базовый,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Сиднея,Австралия,Сидней,3.56,6.5,1500,3,5000,Медицина,Холодный,Нет,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Гарвард,США,Кембридж,3.66,7.0,1100,3,10000,Математика,Умеренный,Средний,Высокий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Торонто,Канада,Торонто,3.23,5.5,1500,3,5000,IT,Умеренный,Средний,Высокий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Кембриджа,Великобритания,Кембридж,3.59,5.5,1500,1,30000,IT,Умеренный,Нет,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Сиднея,Австралия,Сидней,2.81,6.0,1500,2,30000,Бизнес,Холодный,Нет,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Торонто,Канада,Торонто,3.91,5.5,1500,2,5000,Медицина,Умеренный,Средний,Низкий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Корея Университи,Южная Корея,Сеул,3.62,6.0,1400,1,30000,IT,Тёплый,Базовый,Низкий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Кембриджа,Великобритания,Кембридж,3.77,6.0,1100,3,5000,Инженерия,Холодный,Нет,Высокий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Назарбаева,Казахстан,Астана,3.29,7.0,1000,4,5000,IT,Тёплый,Нет,Низкий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Торонто,Канада,Торонто,2.7,5.5,1500,5,5000,Физика,Умеренный,Продвинутый,Высокий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Гонконга,Гонконг,Гонконг,3.63,6.0,1100,4,15000,IT,Холодный,Продвинутый,Высокий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Назарбаева,Казахстан,Астана,2.6,6.5,1200,5,5000,Физика,Холодный,Продвинутый,Высокий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Гарвард,США,Кембридж,3.06,6.0,1400,5,15000,Физика,Умеренный,Базовый,Низкий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Торонто,Канада,Торонто,2.92,6.0,1300,5,5000,IT,Холодный,Продвинутый,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Токийский университет,Япония,Токио,3.61,7.0,1500,2,25000,Бизнес,Холодный,Нет,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,3.17,7.0,1200,4,10000,Бизнес,Тёплый,Нет,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,3.98,7.0,1300,5,5000,Математика,Холодный,Средний,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Токийский университет,Япония,Токио,3.04,6.0,1500,2,25000,IT,Холодный,Средний,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Корея Университи,Южная Корея,Сеул,3.87,7.0,1200,1,10000,IT,Умеренный,Нет,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Корея Университи,Южная Корея,Сеул,3.76,7.0,1100,3,25000,Инженерия,Тёплый,Нет,Высокий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Назарбаева,Казахстан,Астана,3.25,6.5,1500,2,5000,Инженерия,Умеренный,Средний,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Торонто,Канада,Торонто,2.59,7.0,1400,5,5000,Инженерия,Тёплый,Базовый,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Корея Университи,Южная Корея,Сеул,3.07,6.5,1000,1,20000,Медицина,Холодный,Продвинутый,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Кембриджа,Великобритания,Кембридж,2.72,6.5,1200,3,20000,IT,Умеренный,Продвинутый,Низкий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Кембриджа,Великобритания,Кембридж,3.24,6.5,1200,3,30000,Инженерия,Умеренный,Средний,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,3.2,6.0,1000,4,20000,Физика,Умеренный,Нет,Низкий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,2.9,7.0,1200,4,30000,Инженерия,Умеренный,Нет,Высокий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Торонто,Канада,Торонто,3.02,6.5,1200,1,15000,IT,Тёплый,Продвинутый,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Национальный университет Сингапура,Сингапур,Сингапур,3.13,5.5,1400,5,30000,IT,Умеренный,Средний,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Торонто,Канада,Торонто,2.99,5.5,1200,4,5000,Бизнес,Холодный,Продвинутый,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Кембриджа,Великобритания,Кембридж,2.89,7.0,1200,4,10000,IT,Умеренный,Нет,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Кембриджа,Великобритания,Кембридж,2.82,7.0,1000,5,20000,Бизнес,Тёплый,Базовый,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Гарвард,США,Кембридж,3.34,6.5,1100,1,5000,Физика,Холодный,Нет,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Гарвард,США,Кембридж,2.68,5.5,1000,3,15000,Математика,Холодный,Нет,Высокий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Сиднея,Австралия,Сидней,3.85,5.5,1100,4,25000,Бизнес,Тёплый,Средний,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Сиднея,Австралия,Сидней,2.67,6.0,1000,1,20000,Математика,Холодный,Базовый,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Назарбаева,Казахстан,Астана,2.94,6.5,1500,1,30000,Бизнес,Умеренный,Продвинутый,Высокий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Гарвард,США,Кембридж,3.68,6.5,1000,5,10000,Бизнес,Холодный,Средний,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Гонконга,Гонконг,Гонконг,3.33,6.5,1400,1,25000,Математика,Холодный,Нет,Высокий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Кембриджа,Великобритания,Кембридж,3.52,6.0,1400,2,25000,Физика,Умеренный,Нет,Высокий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Кембриджа,Великобритания,Кембридж,3.52,6.0,1400,3,5000,Бизнес,Тёплый,Базовый,Высокий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,2.56,5.5,1100,3,15000,Медицина,Тёплый,Продвинутый,Высокий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Корея Университи,Южная Корея,Сеул,2.83,7.0,1500,4,20000,Инженерия,Умеренный,Продвинутый,Низкий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Назарбаева,Казахстан,Астана,3.34,6.5,1200,2,10000,Физика,Холодный,Базовый,Высокий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Токийский университет,Япония,Токио,3.07,6.0,1400,2,10000,Медицина,Тёплый,Базовый,Высокий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Торонто,Канада,Торонто,2.59,7.0,1300,3,25000,Физика,Умеренный,Продвинутый,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Гонконга,Гонконг,Гонконг,3.38,6.5,1300,3,20000,Математика,Холодный,Базовый,Высокий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Гарвард,США,Кембридж,3.1,6.0,1100,1,25000,Медицина,Тёплый,Средний,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,3.2,5.5,1000,2,10000,Физика,Тёплый,Базовый,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Гонконга,Гонконг,Гонконг,3.77,7.0,1300,5,5000,Инженерия,Умеренный,Базовый,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Национальный университет Сингапура,Сингапур,Сингапур,2.93,6.0,1000,5,20000,Медицина,Холодный,Нет,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Токийский университет,Япония,Токио,3.18,5.5,1500,3,25000,Математика,Умеренный,Продвинутый,Высокий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Токийский университет,Япония,Токио,3.42,6.5,1400,4,20000,Математика,Умеренный,Средний,Высокий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Торонто,Канада,Торонто,2.66,5.5,1000,3,30000,Математика,Умеренный,Продвинутый,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Гонконга,Гонконг,Гонконг,3.38,6.5,1100,3,20000,Медицина,Холодный,Нет,Низкий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Гарвард,США,Кембридж,3.15,6.0,1300,5,15000,Бизнес,Умеренный,Средний,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Сиднея,Австралия,Сидней,2.71,5.5,1500,5,5000,Медицина,Умеренный,Продвинутый,Высокий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Торонто,Канада,Торонто,3.98,6.5,1100,2,15000,Физика,Тёплый,Базовый,Низкий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Гарвард,США,Кембридж,3.64,6.0,1400,4,15000,IT,Тёплый,Нет,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Гонконга,Гонконг,Гонконг,3.43,5.5,1300,5,20000,Математика,Тёплый,Средний,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,3.54,6.0,1500,1,15000,Бизнес,Тёплый,Базовый,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Кембриджа,Великобритания,Кембридж,3.44,6.0,1500,3,10000,Медицина,Тёплый,Нет,Высокий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,3.3,6.5,1300,2,10000,Инженерия,Тёплый,Базовый,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Токийский университет,Япония,Токио,3.35,6.0,1400,4,10000,Бизнес,Холодный,Средний,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Национальный университет Сингапура,Сингапур,Сингапур,2.7,6.5,1500,4,20000,Инженерия,Холодный,Продвинутый,Высокий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,3.88,5.5,1400,4,10000,Физика,Умеренный,Базовый,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Кембриджа,Великобритания,Кембридж,3.68,7.0,1500,2,10000,Медицина,Холодный,Базовый,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Гарвард,США,Кембридж,2.73,6.5,1000,2,20000,Физика,Тёплый,Нет,Высокий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Торонто,Канада,Торонто,3.43,6.5,1500,5,5000,IT,Тёплый,Продвинутый,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Кембриджа,Великобритания,Кембридж,3.69,6.0,1100,3,5000,Медицина,Умеренный,Базовый,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Сиднея,Австралия,Сидней,3.54,6.0,1000,5,20000,Физика,Тёплый,Нет,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Гонконга,Гонконг,Гонконг,2.8,6.5,1400,2,10000,IT,Умеренный,Средний,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Национальный университет Сингапура,Сингапур,Сингапур,2.88,5.5,1500,4,20000,Инженерия,Умеренный,Нет,Высокий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Токийский университет,Япония,Токио,3.39,7.0,1000,2,10000,Инженерия,Тёплый,Базовый,Высокий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Кембриджа,Великобритания,Кембридж,3.43,6.0,1100,1,30000,Физика,Тёплый,Базовый,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Кембриджа,Великобритания,Кембридж,2.6,5.5,1300,3,5000,Физика,Умеренный,Средний,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Корея Университи,Южная Корея,Сеул,3.43,6.0,1300,4,25000,Физика,Холодный,Нет,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Корея Университи,Южная Корея,Сеул,3.53,5.5,1300,5,10000,IT,Тёплый,Базовый,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,4.0,5.5,1300,2,5000,Физика,Умеренный,Средний,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Корея Университи,Южная Корея,Сеул,3.92,7.0,1400,3,30000,Математика,Холодный,Базовый,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Торонто,Канада,Торонто,2.61,6.5,1000,2,20000,IT,Тёплый,Базовый,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Корея Университи,Южная Корея,Сеул,2.6,6.5,1400,2,5000,Физика,Умеренный,Базовый,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
